                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1972,                0.81014,                 1.1415,                0.80633,                0.56775,                0.67396,                0.30231,                 1.9374,                 1.4974,                  1.821,               0.003268,               0.003268,               0.003268
                     36,                 1.2025,                0.76937,                 1.1414,                0.82503,                0.61918,                0.66652,                0.26873,                 2.0657,                 1.4641,                 1.8852,                0.00307,                0.00307,                0.00307
                     37,                 1.1774,                 0.7818,                 1.1527,                0.71505,                0.63131,                0.63614,                0.24524,                 2.2042,                 1.5049,                  2.005,               0.002872,               0.002872,               0.002872
                     38,                 1.2056,                0.74105,                 1.1635,                0.75949,                0.66987,                0.69433,                0.27804,                 2.0305,                 1.3866,                 1.8992,               0.002674,               0.002674,               0.002674
                     39,                 1.1503,                0.72415,                 1.1387,                0.77136,                0.64141,                0.69367,                  0.326,                      2,                 1.3339,                 1.8964,               0.002476,               0.002476,               0.002476
                     40,                 1.1128,                0.71088,                 1.1124,                0.73428,                0.63636,                0.66957,                 0.2839,                 2.1439,                  1.431,                 2.0294,               0.002278,               0.002278,               0.002278
                     41,                 1.0818,                0.67988,                 1.0868,                0.76412,                0.64646,                0.68935,                0.31155,                 1.9801,                 1.3396,                 1.8976,                0.00208,                0.00208,                0.00208
                     42,                 1.0979,                0.69309,                 1.0929,                0.77696,                0.65152,                0.68235,                0.30374,                  1.985,                 1.3732,                  1.915,               0.001882,               0.001882,               0.001882
                     43,                 1.0782,                0.66442,                 1.0853,                0.76661,                0.65657,                0.68941,                0.30067,                 2.0083,                 1.4324,                 1.9403,               0.001684,               0.001684,               0.001684
                     44,                  1.057,                0.66019,                 1.0782,                0.81292,                0.59596,                0.67549,                0.31051,                 2.0183,                 1.4502,                 1.9385,               0.001486,               0.001486,               0.001486
                     45,                 1.0775,                0.67866,                 1.0912,                0.77336,                0.60606,                0.65542,                0.29943,                 2.0102,                 1.4528,                 1.9286,               0.001288,               0.001288,               0.001288
                     46,                 1.0385,                0.65835,                  1.057,                0.72523,                0.65319,                 0.6821,                0.31167,                 1.9763,                 1.3673,                 1.9362,                0.00109,                0.00109,                0.00109
                     47,                 1.0204,                0.61773,                 1.0477,                0.80797,                0.62121,                0.69058,                0.30582,                 1.9951,                 1.4295,                 1.9188,               0.000892,               0.000892,               0.000892
                     48,                 1.0899,                0.65819,                 1.1169,                 0.8074,                0.63131,                0.69205,                0.31409,                 1.9841,                 1.4101,                   1.94,               0.000694,               0.000694,               0.000694
                     49,                 1.0573,                0.62189,                 1.0916,                0.83497,                0.63131,                 0.6914,                0.32291,                 1.9681,                 1.4035,                 1.9256,               0.000496,               0.000496,               0.000496
