                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57841,                0.30639,                0.90777,                0.97548,                0.96256,                0.98654,                0.87327,                 0.5592,                0.28396,                0.89264,                0.00307,                0.00307,                0.00307
                     37,                0.58559,                0.30829,                 0.9106,                 0.9776,                0.96907,                0.98634,                0.87538,                0.55294,                0.27758,                0.89454,               0.002872,               0.002872,               0.002872
                     38,                0.56555,                0.29672,                0.90431,                0.98327,                0.95653,                 0.9846,                0.87618,                0.54542,                   0.28,                0.88867,               0.002674,               0.002674,               0.002674
                     39,                0.55669,                0.29136,                0.90339,                  0.967,                 0.9686,                0.98446,                 0.8768,                0.53723,                0.28199,                0.88636,               0.002476,               0.002476,               0.002476
                     40,                0.55497,                0.29396,                0.90227,                0.98442,                0.96905,                0.98768,                0.87703,                0.55442,                0.26755,                0.89487,               0.002278,               0.002278,               0.002278
                     41,                0.55891,                0.29131,                0.90441,                0.98518,                  0.964,                0.98567,                0.87924,                0.53702,                0.27045,                0.88722,                0.00208,                0.00208,                0.00208
                     42,                0.55577,                0.29497,                 0.9046,                0.97874,                0.97022,                0.98765,                0.88137,                0.53831,                0.26498,                0.88823,               0.001882,               0.001882,               0.001882
                     43,                 0.5432,                0.28023,                0.89353,                0.98723,                 0.9639,                0.98793,                0.88271,                0.53394,                0.26095,                0.88493,               0.001684,               0.001684,               0.001684
                     44,                0.53657,                0.28119,                0.89338,                0.98661,                0.96326,                 0.9867,                0.88132,                0.54064,                0.26301,                0.88654,               0.001486,               0.001486,               0.001486
                     45,                 0.5334,                0.28108,                0.89382,                0.98665,                0.96674,                0.98783,                0.87981,                0.53799,                0.25898,                0.88831,               0.001288,               0.001288,               0.001288
                     46,                0.52711,                0.27795,                 0.8921,                0.98292,                 0.9663,                0.98775,                0.88217,                0.53685,                 0.2621,                0.88715,                0.00109,                0.00109,                0.00109
                     47,                0.52799,                0.27353,                0.89128,                0.98095,                0.97132,                0.98795,                0.88391,                0.53002,                0.25513,                0.88386,               0.000892,               0.000892,               0.000892
                     48,                0.52268,                0.26951,                0.88873,                 0.9834,                0.96491,                  0.987,                0.88144,                0.53587,                0.26393,                0.88907,               0.000694,               0.000694,               0.000694
                     49,                0.52026,                0.27187,                0.88551,                 0.9849,                0.96622,                0.98733,                0.88305,                0.53645,                0.26078,                 0.8861,               0.000496,               0.000496,               0.000496
